Entity,Year,Estimated maternal deaths
Myanmar,2020,1658.0981
Namibia,2016,172.3945
Namibia,2017,159.53682
Namibia,2018,152.56627
Namibia,2019,156.069
Namibia,2020,148.09819
Nepal,2016,1358.7084
Nepal,2017,1345.7341
Nepal,2018,1206.9221
Nepal,2019,1097.5646
Nepal,2020,1051.6934
Netherlands,2016,8.991987
Netherlands,2017,8.509624
Netherlands,2018,6.744667
Netherlands,2019,6.699495
Netherlands,2020,7.4593086
New Zealand,2016,4.532324
New Zealand,2017,4.510099
New Zealand,2018,4.4945927
New Zealand,2019,4.5483584
New Zealand,2020,4.4291754
Nicaragua,2016,111.23846
Nicaragua,2017,108.711525
Nicaragua,2018,106.43899
Nicaragua,2019,106.620094
Nicaragua,2020,109.808784
Niger,2016,4558.4097
Niger,2017,4365.0586
Niger,2018,4501.052
Niger,2019,4407.8154
Niger,2020,4895.9053
Nigeria,2016,83378.88
Nigeria,2017,84371.7
Nigeria,2018,86177.89
Nigeria,2019,86380.27
Nigeria,2020,81747.195
North America,2016,3965.123
North America,2017,3895.3943
North America,2018,3957.0864
North America,2019,3925.4246
North America,2020,3973.3438
North Korea,2016,373.0364
North Korea,2017,371.38544
North Korea,2018,370.77716
North Korea,2019,368.35693
North Korea,2020,368.11667
North Macedonia,2016,0.79086375
North Macedonia,2017,0.72413754
North Macedonia,2018,0.6334735
North Macedonia,2019,0.61719924
North Macedonia,2020,0.6071931
Norway,2016,1.3171322
Norway,2017,1.2056422
Norway,2018,1.0962621
Norway,2019,1.0488276
Norway,2020,0.89842033
Oceania,2016,587.73236
Oceania,2017,592.46844
Oceania,2018,569.34686
Oceania,2019,549.4659
Oceania,2020,550.1059
Oman,2016,13.208894
Oman,2017,13.97472
Oman,2018,14.599369
Oman,2019,14.029883
Oman,2020,14.795838
Pakistan,2016,11827.799
Pakistan,2017,11109.572
Pakistan,2018,11200.398
Pakistan,2019,11349.45
Pakistan,2020,9809.451
Palestine,2016,35.919804
Palestine,2017,31.431189
Palestine,2018,30.387604
Palestine,2019,29.319294
Palestine,2020,29.629753
Panama,2016,38.384506
Panama,2017,39.036392
Panama,2018,36.721165
Panama,2019,39.26983
Panama,2020,38.1283
Papua New Guinea,2016,513.89465
Papua New Guinea,2017,520.2772
Papua New Guinea,2018,497.6609
Papua New Guinea,2019,476.44037
Papua New Guinea,2020,485.35202
Paraguay,2016,96.3363
Paraguay,2017,96.12305
Paraguay,2018,97.66885
Paraguay,2019,97.139244
Paraguay,2020,98.8607
Peru,2016,354.92914
Peru,2017,350.3049
Peru,2018,362.81738
Peru,2019,425.4917
Peru,2020,406.41837
Philippines,2016,2066.6257
Philippines,2017,2034.9225
Philippines,2018,2005.5225
Philippines,2019,1983.4569
Philippines,2020,1934.7827
Poland,2016,7.7303157
Poland,2017,7.6898103
Poland,2018,7.4416175
Poland,2019,7.236884
Poland,2020,7.3088064
Portugal,2016,9.175977
Portugal,2017,9.602981
Portugal,2018,9.552714
Portugal,2019,9.634215
Portugal,2020,9.793548
Puerto Rico,2016,5.335145
Puerto Rico,2017,4.226667
Puerto Rico,2018,4.123519
Puerto Rico,2019,5.4460797
Puerto Rico,2020,9.270924
Qatar,2016,1.6305797
Qatar,2017,1.685942
Qatar,2018,1.8257993
Qatar,2019,1.9552275
Qatar,2020,2.3576846
Romania,2016,33.518543
Romania,2017,27.681791
Romania,2018,24.057018
Romania,2019,21.134115
Romania,2020,20.040895
Russia,2016,160.14813
Russia,2017,147.72644
Russia,2018,140.91078
Russia,2019,110.82779
Russia,2020,197.19652
Rwanda,2016,1102.4495
Rwanda,2017,1054.7294
Rwanda,2018,1100.1234
